AnimalID,Age,Sex,Genotype,Strain,ExpName,Housing,LightCycle,PISiteUser,SessionName,Image,Image_Description,Analysis_Name,Schedule_Name,Max_Number_Trials,Max_Schedule_Time,Date_Time,Stimulus_Duration,AVG_Omissions - Total,AVG_Perseverative Correct - Total,AVG_Perseverative Incorrect - Total,AVG_Premature Responses - Total,AVG_Reward Collection Latency,AVG_Threshold - Accuracy %,AVG_Threshold - Condition,AVG_Threshold - Omission %,AVG_Threshold - Trials,AVG_Trial Analysis - Accuracy%,AVG_Trial Analysis - Correct,AVG_Trial Analysis - Correct Response Latency,AVG_Trial Analysis - Incorrect,AVG_Trial Analysis - Incorrect Response Latency,AVG_Trial Analysis - Omission,AVG_Trial Analysis - Omission%,AVG_Trial Analysis - Premature,AVG_Trial Analysis - Reward Collection Latency,AVG_Trial Analysis - Stimulus Duration
Enf116m6,7_10      ,m, VAChT^En1-Cre-flox/flox,VAChT^En1-Cre-flox/flox,OK_En1CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Probe,,,Cam Mouse5C Touch Var1,5CSRTT_06_var1,50,3600,07/27/15 2:38:57 PM,600,27,1,,5,1.3080666666666667,65.2,3251.172,54,50,68.05833333333335,1,0.6979333333333333,1,3.0237499999999997,1,57.80729599999999,1,1.3080666666666667,0.6000000000000005
Enf116m6,7_10      ,m, VAChT^En1-Cre-flox/flox,VAChT^En1-Cre-flox/flox,OK_En1CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Intra_Probe,,,Cam Mouse5C Touch Var1,5CSRTT_2s_Var1,50,3600,06/16/15 3:39:09 PM,2000,12,6,,7,1.24252,83.3,3600,28.6,42,81.79285714285716,1,1.5973846153846152,1,2.4452,1,38.40633536585364,1.1666666666666667,1.24252,2
Enf116m6,7_10      ,m, VAChT^En1-Cre-flox/flox,VAChT^En1-Cre-flox/flox,OK_En1CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Intra_Probe,,,Cam Mouse5C Touch Var1,5CSRTT_2s_Var1,50,3600,06/25/15 2:38:29 PM,2000,13,4,,1,1.1981666666666666,83.3,3600,26.5,49,73.2212765957447,1,1.2316666666666665,1,2.753833333333333,1,27.960043749999997,1,1.1981666666666666,2
Enf116m6,7_10      ,m, VAChT^En1-Cre-flox/flox,VAChT^En1-Cre-flox/flox,OK_En1CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Intra_Probe,,,Cam Mouse5C Touch Var1,5CSRTT_2s_Var1,50,3600,07/07/15 4:28:15 PM,2000,9,4,2,4,1.696588235294118,82.9,2217.494,18,50,74.23695652173913,1,1.3382647058823531,1,3.3147142857142855,1,18.915985319148934,1.3333333333333333,1.696588235294118,2
Enf116m6,7_10      ,m, VAChT^En1-Cre-flox/flox,VAChT^En1-Cre-flox/flox,OK_En1CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Intra_Probe,,,Cam Mouse5C Touch Var1,5CSRTT_4s_Var1,50,3600,05/15/15 2:19:44 PM,4000,16,2,,2,1.8472000000000004,93.8,3600,50,32,98.01000000000005,1,2.483399999999999,1,5.339,1,54.391371250000006,1,1.8472000000000004,4
Enf116m6,7_10      ,m, VAChT^En1-Cre-flox/flox,VAChT^En1-Cre-flox/flox,OK_En1CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Intra_Probe,,,Cam Mouse5C Touch Var1,5CSRTT_4s_Var1,50,3600,05/26/15 1:27:27 PM,4000,1,3,,3,1.4118000000000002,71.4,3600,4.5,22,60.20909090909092,1,1.9867999999999997,1,1.2046666666666666,1,7.7550824375000005,1,1.4118000000000002,4
Enf116m6,7_10      ,m, VAChT^En1-Cre-flox/flox,VAChT^En1-Cre-flox/flox,OK_En1CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Training,,,Cam Mouse5C Touch Var1,5CSRTT_2s_Var1,50,3600,07/13/15 4:56:40 PM,2000,7,5,,6,1.1076315789473685,88.4,2076.501,14,50,83.93469387755103,1,1.2192631578947373,1,2.2455000000000003,1,19.942241458333335,1,1.1076315789473685,2
Enf118m6,7_10      ,m, VAChT^En1-Cre-flox/flox,VAChT^En1-Cre-flox/flox,OK_En1CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Probe,,,Cam Mouse5C Touch Var1,5CSRTT_08_var1,50,3600,07/22/15 1:14:45 PM,800,16,1,,,1.387709677419355,91.2,1634.529,32,50,96.1222222222222,1,0.8773225806451613,1,2.7413333333333334,1,46.534670600000005,,1.387709677419355,0.7999999999999997
Enf118m6,7_10      ,m, VAChT^En1-Cre-flox/flox,VAChT^En1-Cre-flox/flox,OK_En1CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Intra_Probe,,,Cam Mouse5C Touch Var1,5CSRTT_2s_Var1,50,3600,06/24/15 3:21:47 PM,2000,20,1,,,3.6033928571428566,93.3,2560.701,40,50,98.5955555555556,1,1.2715,1,3.9865,1,44.13048499999999,,3.6033928571428566,2
Enf118m6,7_10      ,m, VAChT^En1-Cre-flox/flox,VAChT^En1-Cre-flox/flox,OK_En1CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Intra_Probe,,,Cam Mouse5C Touch Var1,5CSRTT_2s_Var1,50,3600,07/06/15 4:44:58 PM,2000,14,4,,3,1.505148148148148,75,2288.571,28,50,69.65348837209304,1,1.0828148148148151,1,0.9395555555555557,1,36.40268560000001,1,1.505148148148148,2
